housing_type,address,postal_code,area_sqm,area_sqft,transaction_price,sale_date,latitude,longitude,town,flat_type,flat_model,storey_range,lease_commence_date,lease_remaining
hdb,676C PUNGGOL DR,823676,93,1001,525000,01/02/21,1.40533143328059,103.910586805301,PUNGGOL,4 ROOM,Premium,13 TO 15,2016,94 years 08 months
hdb,618A PUNGGOL DR,821618,93,1001,468000,01/02/21,1.40112635117271,103.912462739151,PUNGGOL,4 ROOM,Premium,04 TO 06,2013,91 years 07 months
hdb,170C PUNGGOL FIELD,823170,92,990,400000,01/02/21,1.39310784191808,103.914546399185,PUNGGOL,4 ROOM,Model A,01 TO 03,2014,92 years 03 months
hdb,256C SUMANG WALK,823256,93,1001,500000,01/02/21,1.40540203681829,103.895910481206,PUNGGOL,4 ROOM,Model A,10 TO 12,2016,94 years 11 months
hdb,165B PUNGGOL CTRL,822165,114,1227,475000,01/02/21,1.39512803214596,103.914467126167,PUNGGOL,5 ROOM,Premium,04 TO 06,2004,82 years 05 months
hdb,678C PUNGGOL DR,823678,113,1216,650000,01/02/21,1.4062117905469,103.90937278679,PUNGGOL,5 ROOM,Premium,07 TO 09,2016,94 years 08 months
hdb,273B PUNGGOL PL,822273,117,1259,660000,01/02/21,1.40196010771341,103.901778767439,PUNGGOL,5 ROOM,Premium,13 TO 15,2013,91 years 06 months
hdb,329A ANCHORVALE ST,541329,67,721,342000,01/02/21,1.39619302195078,103.88972181068,SENGKANG,3 ROOM,Model A,07 TO 09,2015,93 years 07 months
hdb,467A FERNVALE LINK,791467,68,732,336000,01/02/21,1.39798359035227,103.8784589917,SENGKANG,3 ROOM,Model A,04 TO 06,2016,94 years 06 months
hdb,333B ANCHORVALE LINK,542333,92,990,468000,01/02/21,1.39457895953306,103.891425367847,SENGKANG,4 ROOM,Model A,04 TO 06,2015,93 years 05 months
hdb,268B COMPASSVALE LINK,542268,91,980,520000,01/02/21,1.38445556909348,103.896252814643,SENGKANG,4 ROOM,Premium,16 TO 18,2006,84 years 01 month
hdb,470C FERNVALE LINK,793470,93,1001,471000,01/02/21,1.39619403936396,103.879992372196,SENGKANG,4 ROOM,Model A,22 TO 24,2016,94 years 08 months
hdb,471B FERNVALE ST,792471,93,1001,480000,01/02/21,1.3964987562975,103.880447337309,SENGKANG,4 ROOM,Model A,22 TO 24,2016,94 years 07 months
hdb,469A SENGKANG WEST WAY,791469,93,1001,438000,01/02/21,1.39589511654297,103.878083108342,SENGKANG,4 ROOM,Model A,07 TO 09,2016,94 years 07 months
hdb,253 COMPASSVALE ST,540253,116,1249,500000,01/02/21,1.39399621447324,103.900183233661,SENGKANG,5 ROOM,Improved,16 TO 18,2000,78 years 08 months
hdb,408A FERNVALE RD,791408,115,1238,503800,01/02/21,1.3887643401752,103.876211939865,SENGKANG,5 ROOM,Premium,25 TO 27,2004,82 years 11 months
hdb,2 HOUGANG AVE 3,530002,59,635,213000,01/03/21,1.36313720753257,103.893184540903,HOUGANG,3 ROOM,Improved,07 TO 09,1975,53 years 04 months
hdb,529 HOUGANG AVE 6,530529,74,797,323800,01/03/21,1.37546896487504,103.890729546346,HOUGANG,3 ROOM,Model A,07 TO 09,1987,65 years 03 months
hdb,637 HOUGANG AVE 8,530637,84,904,360000,01/03/21,1.37096794957292,103.879282091229,HOUGANG,4 ROOM,Simplified,07 TO 09,1987,65 years 06 months
hdb,979B BUANGKOK CRES,532979,110,1184,486000,01/03/21,1.37951135577179,103.879376827001,HOUGANG,5 ROOM,Improved,16 TO 18,2003,81 years 04 months
hdb,613B PUNGGOL DR,822613,93,1001,415000,01/03/21,1.40427710253971,103.90827778637,PUNGGOL,4 ROOM,Model A,01 TO 03,2012,90 years 10 months
hdb,666B PUNGGOL DR,822666,93,1001,500000,01/03/21,1.40179672508932,103.915278092564,PUNGGOL,4 ROOM,Premium,13 TO 15,2016,94 years
hdb,664A PUNGGOL DR,821664,90,969,430000,01/03/21,1.39943218267509,103.917510729317,PUNGGOL,4 ROOM,Model A,04 TO 06,2016,94 years 03 months
hdb,207D PUNGGOL PL,824207,92,990,480000,01/03/21,1.40094652941197,103.900708420291,PUNGGOL,4 ROOM,Model A,10 TO 12,2014,92 years 04 months
hdb,212A PUNGGOL WALK,821212,93,1001,465000,01/03/21,1.39996056106688,103.898983585947,PUNGGOL,4 ROOM,Model A,16 TO 18,2015,93 years 02 months
hdb,260A PUNGGOL WAY,821260,93,1001,495000,01/03/21,1.40479713792879,103.896616087907,PUNGGOL,4 ROOM,Model A,10 TO 12,2016,94 years 04 months
hdb,176D EDGEFIELD PLAINS,824176,110,1184,430000,01/03/21,1.39794240618777,103.909448151668,PUNGGOL,5 ROOM,Improved,04 TO 06,2003,81 years 07 months
