project_name,address,postal_code,postal_district,num_of_units,area_sqm,area_sqft,area_type,transaction_price_dollars,nett_price_dollars,unit_price_psm_dollars,unit_price_psf_dollars,sale_date,property_type,property_tenure,completion_top_date,sale_type,purchaser_address_indicator
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #12-13,319773,12,1,66,710.42,Strata,1000000,-,15152,1408,22/03/2017,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #10-04,319773,12,1,66,710.42,Strata,1010000,-,15303,1422,09/03/2017,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #09-09,319773,12,1,138,1485.43,Strata,1670000,-,12101,1124,28/02/2017,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #23-13,319773,12,1,66,710.42,Strata,1060000,-,16061,1492,23/02/2017,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #18-16,319773,12,1,138,1485.43,Strata,1910000,-,13841,1286,24/01/2017,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #11-02,319773,12,1,153,1646.89,Strata,2088000,-,13647,1268,05/09/2016,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #13-06,319773,12,1,108,1162.51,Strata,1560000,-,14444,1342,11/03/2016,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #16-09,319773,12,1,138,1485.43,Strata,1880000,-,13623,1266,22/02/2016,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #15-12,319773,12,1,51,548.96,Strata,832000,-,16314,1516,12/11/2015,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #24-08,319773,12,1,138,1485.43,Strata,1915000,-,13877,1289,24/07/2015,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #18-04,319773,12,1,66,710.42,Strata,1035000,-,15682,1457,05/06/2015,Condominium,Freehold,2000,Resale,Private
