housing_type,project_name,address,postal_code,area_sqm,transaction_price,sale_date,latitude,longitude
private,GAMBIR RIDGE,16 GAMBIR WALK #01-07,538976,104,1550000,13/09/21,1.344394,103.8754238
private,THE LILIUM,33 HOW SUN ROAD #04-10,538501,101,2137800,16/09/21,1.345796,103.880802
private,OLA,72 ANCHORVALE CRESCENT #03-08,544600,98,1274000,16/09/21,1.397707,103.8922654
private,THE BENTLY RESIDENCES@KOVAN,28 KOVAN ROAD #02-04,544694,41,715000,17/09/21,1.357903,103.8802856
private,FLO RESIDENCE,1 PUNGGOL FIELD WALK #04-04,828739,94,950000,17/09/21,1.391846,103.913039
private,HERON BAY,63 UPPER SERANGOON VIEW #01-24,534014,169,1538000,20/09/21,1.376214,103.9037256
private,PARC VERA,8 HOUGANG STREET 32 #17-13,534038,307,2700000,20/09/21,1.363907,103.8946653
private,KOVAN MELODY,27 KOVAN ROAD #17-26,545023,84,1208000,20/09/21,1.359559,103.8836165
private,AFFINITY AT SERANGOON,26 SERANGOON NORTH AVENUE 1 #01-53,554340,86,1427000,20/09/21,1.366187,103.8736748
private,PRIVE,35 PUNGGOL FIELD #03-23,828818,93,1070000,20/09/21,1.401174,103.9049323
private,BOTANIQUE AT BARTLEY,237 UPPER PAYA LEBAR ROAD #08-45,533867,48,775000,21/09/21,1.342165,103.8821299
private,VIBES @ KOVAN,93 KOVAN ROAD #03-08,548178,53,777500,21/09/21,1.354825,103.8776032
private,KINGSFORD WATERBAY,68 UPPER SERANGOON VIEW #16-26,533884,64,790000,22/09/21,1.373777,103.9029702
private,THE FLORIDA,78 HOUGANG AVENUE 7 #10-28,534260,129,1090000,23/09/21,1.373932,103.9011403
private,BOTANIQUE AT BARTLEY,231 UPPER PAYA LEBAR ROAD #10-24,533870,46,810000,27/09/21,1.341747,103.883332
private,ECOPOLITAN,138 PUNGGOL WALK #08-32,828700,101,1168000,27/09/21,1.400455,103.8976596
private,THE PROMENADE@PELIKAT,183 JALAN PELIKAT #03-22,537643,87,1038000,28/09/21,1.355309,103.8878572
private,WATERBAY,47B EDGEFIELD PLAINS #17-23,828715,248,2050000,06/10/21,1.401133,103.9080726
private,THE WATERLINE,161 POH HUAT ROAD WEST #04-03,546692,82,1030000,07/10/21,1.367277,103.8765014
private,HILBRE28,68 HILLSIDE DRIVE #02-02,549018,80,1250000,07/10/21,1.360802,103.875019
private,PRIVE,33 PUNGGOL FIELD #05-10,828817,102,1165000,11/10/21,1.401488,103.9043384
private,HERON BAY,57 UPPER SERANGOON VIEW #02-15,534017,118,1208000,12/10/21,1.376792,103.9031554
private,FIRST CENTRE,50 SERANGOON NORTH AVENUE 4 #05-11,555856,128,630000,12/10/21,1.375482,103.8762181
private,THE FLORENCE RESIDENCES,87 HOUGANG AVENUE 2 #05-30,538862,92,1755000,13/10/21,1.366404,103.8869283
private,RIVERPARC RESIDENCE,96 PUNGGOL DRIVE #04-15,828797,100,1100000,13/10/21,1.397589,103.9177786
private,THE FLORENCE RESIDENCES,95 HOUGANG AVENUE 2 #15-68,533754,59,1184000,16/10/21,1.367529,103.8858913
private,PARKWOOD RESIDENCES,208 YIO CHU KANG ROAD #04-01,545653,100,1604800,19/10/21,1.366526,103.8758283
private,THE PROMENADE@PELIKAT,183 JALAN PELIKAT #03-15,537643,86,960000,20/10/21,1.355309,103.8878572
private,THE BENTLY RESIDENCES@KOVAN,28 KOVAN ROAD #04-02,544694,82,1280000,20/10/21,1.357903,103.8802856
private,THE FLORENCE RESIDENCES,87 HOUGANG AVENUE 2 #14-33,538862,91,1654000,21/10/21,1.366404,103.8869283
private,FLO RESIDENCE,7 PUNGGOL FIELD WALK #11-15,828742,87,980000,21/10/21,1.392562,103.9133615
private,JEWEL @ BUANGKOK,83 COMPASSVALE BOW #11-07,544684,103,1550000,22/10/21,1.381251,103.8923659
private,RIVERPARC RESIDENCE,100 PUNGGOL DRIVE #18-21,828799,184,1450000,22/10/21,1.397904,103.9173288
private,SENGKANG GRAND RESIDENCES,74 COMPASSVALE BOW #07-11,544567,87,1632620,23/10/21,1.382388,103.8921365
private,RIVERSAILS,8 UPPER SERANGOON CRESCENT #12-22,534032,103,1250000,25/10/21,1.378359,103.9029043
private,OLA,82 ANCHORVALE CRESCENT #06-25,544559,129,1672000,25/10/21,1.39712,103.8922927
private,THE MINTON,6B HOUGANG STREET 11 #01-20,534083,122,1238000,29/10/21,1.351444,103.8818173
private,SENGKANG GRAND RESIDENCES,82 COMPASSVALE BOW #12-43,544571,87,1641640,30/10/21,1.384102,103.8927055
private,S9,55 SERANGOON NORTH AVENUE 4 #02-09,555859,164,950000,01/11/21,1.376952,103.8749239
private,IN SPACE,24 NEW INDUSTRIAL ROAD #04-07,536210,228,1680000,02/11/21,1.344276,103.8866522
private,TERRASSE,23 TERRASSE LANE #01-16,544775,89,1050000,03/11/21,1.368876,103.8776249
private,AFFINITY AT SERANGOON,22 SERANGOON NORTH AVENUE 1 #14-26,554338,89,1462488,12/11/21,1.36594,103.8727795
private,WATERTOWN,71 PUNGGOL CENTRAL #11-40,828755,56,835000,22/11/21,1.405923,103.9019239
private,WATERTOWN,69 PUNGGOL CENTRAL #05-18,828754,53,840000,24/11/21,1.406452,103.9026608
private,KINGSFORD WATERBAY,74 UPPER SERANGOON VIEW #13-52,533881,83,1155000,03/12/21,1.37472,103.9037317
